Name ,Phone Number,Aadhaar card no,Age,DOB,Gender,Rural_Urban,Number of members in familty,Employment Status,Annual Income,Education,Region,Religion,Mother Tongue,Marital Status,Field of employment,Disease,Vaccination status,Infection,Digital connectivity
Laroi,7511048871,4.17E+11,65,10-12-1956,1,1,0,0,3,1,Mumbai City,Others,Punjabi,1,Unemployed,none,2,0,0
Vilte,7971332388,3.29E+11,74,17-03-1948,0,1,0,1,2,1,Satara,Jain,Bengali,0,Art,none,0,1,1
Jadelin,8385545893,9.63E+11,43,16-04-1979,0,1,6,1,3,1,Nanded,Hindu,Gujarati,0,Communication,none,1,0,1
Shubham,9486523959,6.18E+11,43,27-04-1979,1,1,5,0,3,1,Ratnagiri,Jain,Marathi,0,Unemployed,none,1,1,0
Hailo,7880352891,8.74E+11,42,02-12-1979,0,1,2,1,1,1,Satara,Others,Hindi,1,IT,none,1,0,0
Huriya,9944535915,6.95E+11,76,17-07-1945,0,1,3,1,3,1,Buldhana,Hindu,Gujarati,1,Production,none,2,0,1
Shanekia,7127129219,2.90E+11,62,30-06-1959,0,1,3,1,1,1,Sangli,Hindu,Sanskrit,1,Social Service,none,1,0,0
Gurutz,9411896365,7.24E+11,25,02-02-1997,1,1,5,1,3,1,Chandrapur,Hindu,Marathi,0,IT,none,2,0,1
Dillen,9844045821,3.00E+11,28,12-04-1994,1,1,2,1,3,1,Solapur,Hindu,Marathi,0,Science and Technology,other,1,1,1
Jauquan,9825457449,5.99E+11,61,14-02-1961,1,1,2,1,3,1,Ratnagiri,Christian,Gujarati,1,Self Employed,none,1,0,0
Baja,8953209407,2.74E+11,69,27-04-1953,0,1,3,0,2,1,Nanded,Jain,Malayalam,0,Unemployed,none,0,1,0
Bahman,8216449003,4.47E+11,25,27-03-1997,1,1,0,1,3,1,Pune,Hindu,Marathi,0,Science and Technology,none,0,0,1
Ellayah,9322611780,1.88E+11,74,15-11-1947,0,1,3,1,3,1,Parbhani,Buddhism,English,1,Social Service,none,1,0,1
Daviere,9133486843,2.95E+11,41,19-04-1981,1,1,1,1,1,1,Sangli,Others,Telugu,1,Self Employed,none,0,0,1
Leathea,9596070742,5.46E+11,25,05-12-1996,0,1,3,1,3,1,Raigad,Sikh,Punjabi,1,Agriculture,none,2,0,0
Shayd,9632107339,1.43E+11,71,13-09-1950,1,1,1,1,2,1,Ahmednagar,Hindu,Tamil,0,Science and Technology,none,2,1,0
Ghadah,7447759054,4.35E+11,38,26-03-1984,0,1,3,1,1,1,Dhule,Hindu,Hindi,1,Education,none,2,0,0
Kacie-jo,7111114819,8.06E+11,55,15-09-1966,0,1,2,1,1,1,Pune,Muslim,Hindi,1,IT,none,1,0,1
Delayney,9799541285,4.08E+11,75,26-08-1946,0,1,0,0,2,1,Nanded,Hindu,Gujarati,0,Unemployed,Artheritis,1,1,0
Rishad,8329250247,4.03E+11,19,17-10-2002,1,1,4,1,3,1,Latur,Muslim,Malayalam,1,Science and Technology,Artheritis,1,1,1
