Name ,Phone Number,Aadhaar card no,Age,DOB,Gender,Rural_Urban,Number of members in familty,Employment Status,Annual Income,Education,Region,Religion,Mother Tongue,Marital Status,Field of employment,Disease,Vaccination status,Infection,Digital connectivity
Laroi,7511048871,4.1688E+11,65,10-12-1956,1,1,0,0,3,1,Mumbai City,Others,Punjabi,1,Unemployed,none,2,0,0
Vilte,7971332388,3.2902E+11,74,17-03-1948,0,1,0,1,2,1,Satara,Jain,Bengali,0,Art,none,0,1,1
Jadelin,8385545893,9.62716E+11,43,16-04-1979,0,1,6,1,3,1,Nanded,Hindu,Gujarati,0,Communication,none,1,0,1
Shubham,9486523959,6.18112E+11,43,27-04-1979,1,1,5,0,3,1,Ratnagiri,Jain,Marathi,0,Unemployed,none,1,1,0
Hailo,7880352891,8.73967E+11,42,02-12-1979,0,1,2,1,1,1,Satara,Others,Hindi,1,IT,none,1,0,0
Huriya,9944535915,6.95371E+11,76,17-07-1945,0,1,3,1,3,1,Buldhana,Hindu,Gujarati,1,Production,none,2,0,1
Shanekia,7127129219,2.89924E+11,62,30-06-1959,0,1,3,1,1,1,Sangli,Hindu,Sanskrit,1,Social Service,none,1,0,0
Gurutz,9411896365,7.23901E+11,25,02-02-1997,1,1,5,1,3,1,Chandrapur,Hindu,Marathi,0,IT,none,2,0,1
Dillen,9844045821,3.0023E+11,28,12-04-1994,1,1,2,1,3,1,Solapur,Hindu,Marathi,0,Science and Technology,other,1,1,1
Jauquan,9825457449,5.98846E+11,61,14-02-1961,1,1,2,1,3,1,Ratnagiri,Christian,Gujarati,1,Self Employed,none,1,0,0
Baja,8953209407,2.73828E+11,69,27-04-1953,0,1,3,0,2,1,Nanded,Jain,Malayalam,0,Unemployed,none,0,1,0
Bahman,8216449003,4.47007E+11,25,27-03-1997,1,1,0,1,3,1,Pune,Hindu,Marathi,0,Science and Technology,none,0,0,1
Ellayah,9322611780,1.88438E+11,74,15-11-1947,0,1,3,1,3,1,Parbhani,Buddhism,English,1,Social Service,none,1,0,1
